short_id,short_headline,short_view_count,url,time_record
jSUogbwpgWI,"['he', 'never', 'fails', 'to', 'tease', 'her🤣🤣', '[maomao', 'and', 'jinshi]', '-', 'apothecary', 'diaries', '#animefunny', '#viral', '#fyp']",968000,/shorts/jSUogbwpgWI,2024-03-13 23:04:58.067234
DxN6u3_MkuQ,"['sok”an', 'cinta', 'lo', 'dek,', 'rapor', 'lu', 'benerin', 'dlo', '#cover', '#mosawo', '#koiiro']",718000,/shorts/DxN6u3_MkuQ,2024-03-13 23:04:58.067234
kIBs7cS12HY,"['new', 'animated', 'story', 'video', 'for', 'milunka', 'savić,', 'a.k.a', '""lady', 'of', 'the', 'dark""', '!', '#shorts']",128000,/shorts/kIBs7cS12HY,2024-03-13 23:04:58.067234
Ln_jQL8HOn0,"['why', 'kobo', 'kanaeru', 'hitting', '1', 'million', 'subscribers', 'is', 'actually', 'a', 'big', 'deal.']",1100000,/shorts/Ln_jQL8HOn0,2024-03-13 23:04:58.067234
YWR30pAz3lY,"['shinmei', 'co.,ltd', 'sliding', 'tto']",108 views,/shorts/YWR30pAz3lY,2024-03-13 23:04:58.067234
q9bBVQ__HQg,"['kevin', 'is', 'a', 'terrible', 'father', '@theurbanrescueranch']",7000000,/shorts/q9bBVQ__HQg,2024-03-13 23:04:58.067234
HISDXZRaTmM,"['rakit', 'jendela', 'kaca', 'biru', 'minimalis', '#shorts']",7800,/shorts/HISDXZRaTmM,2024-03-13 23:04:58.067234
ZzX90M5A4KU,"['why', 'is', ""azula's"", 'fire', 'blue?', '🔵🔥', '|', 'avatar', '#shorts']",987000,/shorts/ZzX90M5A4KU,2024-03-13 23:04:58.067234
MW0KmTkv_-Q,"['her', 'mood', 'changed', 'completely', 'when', 'i', 'spoke', 'chinese😂']",4900000,/shorts/MW0KmTkv_-Q,2024-03-13 23:04:58.067234
Kg4RdqeIZnk,"['gawr', 'gura', '3d', '#gawrgura', '#gura', '#hololive', '#hololiveenglish', '#vtuber', '#cosplay', '#cosplayer', '#cosplaygirl']",121000,/shorts/Kg4RdqeIZnk,2024-03-13 23:04:58.067234
XT6gllEki3E,"['wasp', 'nest', 'removal']",70000000,/shorts/XT6gllEki3E,2024-03-13 23:04:58.067234
WfXbQUOrCnw,"['pytorch', 'vs', 'tensorflow…', 'which', 'one', 'will', 'you', 'choose?', '#deeplearning', '#pytorch', '#tensorflow']",3800,/shorts/WfXbQUOrCnw,2024-03-13 23:04:58.067234
lkeyxoEsNE8,"['she', 'bribed', 'him', 'to', 'be', 'her', 'boyfriend🤣', '-', 'loving', 'yamada', 'at', 'lv999', '#anime', '#shoes', '#viral', '#fyp']",2700000,/shorts/lkeyxoEsNE8,2024-03-13 23:04:58.067234
dlgtTVqddPY,"['submarine', 'sniper', '(the', 'end', '🎯)']",22000000,/shorts/dlgtTVqddPY,2024-03-13 23:04:58.067234
iuShCV_QI_c,"['for', 'knife', 'blade', 'lover']",3100000,/shorts/iuShCV_QI_c,2024-03-13 23:04:58.067234
ZzX90M5A4KU,"['why', 'is', ""azula's"", 'fire', 'blue?', '🔵🔥', '|', 'avatar', '#shorts']",987000,/shorts/ZzX90M5A4KU,2024-03-13 23:04:58.067234
rzyX9cHTV2Y,"['sprinters', 'fighting', 'for', 'it', '😅']",55000000,/shorts/rzyX9cHTV2Y,2024-03-13 23:04:58.067234
iE-9ZXicO1k,"['even', 'kid', 'gojo', 'satoru', 'is', 'so', 'cool', '😍❤️', '-', 'toji', 'got', 'ressurected', 'and', 'is', 'back', '-', 'jujutsu', 'kaisen', 'shibuya', 'arc']",2300000,/shorts/iE-9ZXicO1k,2024-03-13 23:04:58.067234
5_0_6bWU3IE,"['again', 'a', 'mexican', 'cat!', '#shorts']",13000,/shorts/5_0_6bWU3IE,2024-03-13 23:04:58.067234
HISDXZRaTmM,"['rakit', 'jendela', 'kaca', 'biru', 'minimalis', '#shorts']",7800,/shorts/HISDXZRaTmM,2024-03-13 23:04:58.067234
Wq-TNnJ0Kt8,"['gura', 'singing', 'on', 'the', 'toilet']",906000,/shorts/Wq-TNnJ0Kt8,2024-03-13 23:04:58.067234
AKU-N3GSzpw,"['the', 'apothecary', 'diaries', '|', 'they', 'know', 'what’s', 'uppp', '#anime', '#theapothecarydiaries']",255000,/shorts/AKU-N3GSzpw,2024-03-13 23:04:58.067234
kj39ofRna8A,"['did', 'you', 'know', 'this', 'about', 'jax?', '#shorts', '#theamazingdigitalcircus', '#hazbinhotel']",6400000,/shorts/kj39ofRna8A,2024-03-13 23:04:58.067234
WxY5-I5hZ_8,"['stardenburdenhardenbart', 'day11', 'cat', 'calling', 'in', 'different', 'languages', '(german', 'always', 'works)']",473000,/shorts/WxY5-I5hZ_8,2024-03-13 23:04:58.067234
YaQEUgIr4Mk,"['logistic', 'vs', 'logit', 'functions']",9900,/shorts/YaQEUgIr4Mk,2024-03-13 23:04:58.067234
k6TDLgVkLqs,"['zuko', 'is', 'so', 'smooth', 'in', 'avatar:', 'the', 'last', 'airbender', '😮', '#avatarthelastairbender']",748000,/shorts/k6TDLgVkLqs,2024-03-13 23:04:58.067234
eS8C14NW0Xo,"['love', 'hurts...', '😭💔#anya', '#anyaforger', '#spyxfamily', '#spyxfamilyedit', '#loidforger', '#loid', '#fiona']",5500000,/shorts/eS8C14NW0Xo,2024-03-13 23:04:58.067234
tCQSuD_BDQw,"['real', 'or', 'fake']",74000,/shorts/tCQSuD_BDQw,2024-03-13 23:04:58.067234
EJ7mZrD36Ow,"['if', 'you', 'laugh', 'you', 'lose', '31😂', '#funny', '#shorts', '#viral']",816000,/shorts/EJ7mZrD36Ow,2024-03-13 23:04:58.067234
R2AhXtNORt0,"['시공간', '버그', '걸림😱(weightless', 'zone)']",15000000,/shorts/R2AhXtNORt0,2024-03-13 23:04:58.067234
XC4NeFejl_w,"['she', 'finally', 'found', 'the', 'truth', 'about', 'dietrich', 'death💔😰#newmanhwa#manhwa#webtoonrecommendation#viral#fypシ']",91000,/shorts/XC4NeFejl_w,2024-03-13 23:04:58.067234
6efpEEGncEI,"['never', 'underestimate', 'the', 'power', 'of', 'spiderman', '🔥😈', '#marvel', '#avengers', '#spiderman', '#shorts']",504000,/shorts/6efpEEGncEI,2024-03-13 23:04:58.067234
blYtXuY5nG0,"['so', ""how's"", 'life', 'going?🥲', '#nichijou', '#animefunny']",6700000,/shorts/blYtXuY5nG0,2024-03-13 23:04:58.067234
-sp_WeWft9g,"['he', 'knows', 'her', 'too', 'well', '😂', '#theapothecarydiaries', '#anime']",601000,/shorts/-sp_WeWft9g,2024-03-13 23:04:58.067234
rzyX9cHTV2Y,"['sprinters', 'fighting', 'for', 'it', '😅']",55000000,/shorts/rzyX9cHTV2Y,2024-03-13 23:04:58.067234
IBOeoE6Dx_M,"['shooting', 'too', 'close', 'to', 'a', 'steel', 'target..🤯', '#yxg', '#shorts']",2300000,/shorts/IBOeoE6Dx_M,2024-03-13 23:04:58.067234
cfSMdhd4rxg,"['he', 'met', 'his', 'father-in-law', 'for', 'the', 'first', 'time💀😂', '-', 'miyamura', 'and', 'hori', '#horimiya', '#anime', '#viral', '#shorts']",544000,/shorts/cfSMdhd4rxg,2024-03-13 23:04:58.067234
WfXbQUOrCnw,"['pytorch', 'vs', 'tensorflow…', 'which', 'one', 'will', 'you', 'choose?', '#deeplearning', '#pytorch', '#tensorflow']",3800,/shorts/WfXbQUOrCnw,2024-03-13 23:04:58.067234
dlgtTVqddPY,"['submarine', 'sniper', '(the', 'end', '🎯)']",22000000,/shorts/dlgtTVqddPY,2024-03-13 23:04:58.067234
N95w2fCMqCg,"['first', 'look', 'at', 'young', 'avatar', 'kyoshi']",401000,/shorts/N95w2fCMqCg,2024-03-13 23:04:58.067234
OHlY7z4jrjc,"['bro', 'rejected', 'lgbtq#shorts']",2000000,/shorts/OHlY7z4jrjc,2024-03-13 23:04:58.067234
